DATA;Livello invaso                              (m s.l.m.);Volume invaso                             (m3);Pioggia Ridracoli                        (mm);Apporto mc/giorno;Prelievi m3/giorno
1/1/2015;548,32;24627147;0,8;69304,56768;-145627,5677
2/1/2015;548,23;24550824;8,6;101375,3664;-109846,3664
3/1/2015;548,22;24542353;0,0;289284,2208;-25790,2208
4/1/2015;548,53;24805847;0,0;440470,7424;-243764,7424
5/1/2015;548,76;25002553;0,0;257716,944;-180464,944
6/1/2015;548,85;25079805;0,0;158244,3648;-123858,3648
7/1/2015;548,89;25114191;0,2;140977,6704;-123773,6704
8/1/2015;548,91;25131395;0,0;135142,4736;-143745,4736
9/1/2015;548,9;25122792;0,0;120342,24;-146140,24
10/1/2015;548,87;25096994;0,0;111354,9984;-102756,9984
11/1/2015;548,88;25105592;0,4;102218,1984;-119411,1984
12/1/2015;548,86;25088399;0,0;113636,736;-122230,736
13/1/2015;548,85;25079805;0,0;85853,9952;-111621,9952
14/1/2015;548,82;25054037;0,2;78610,40064;-121518,4006
15/1/2015;548,77;25011129;0,0;81472,49568;-115764,4957
16/1/2015;548,73;24976837;3,0;90500,0256;-124760,0256
17/1/2015;548,69;24942577;12,6;121810,176;-113248,176
18/1/2015;548,7;24951139;0,0;118076,0544;-126638,0544
19/1/2015;548,69;24942577;0,2;94485,312;-120160,312
20/1/2015;548,66;24916902;4,0;94270,0032;-119927,0032
21/1/2015;548,63;24891245;7,0;120736,224;-95079,224
22/1/2015;548,66;24916902;11,2;296157,0816;-30003,0816
23/1/2015;548,97;25183056;10,6;557469,3024;-124220,3024
24/1/2015;549,47;25616305;0,0;445009,4208;-209009,4208
25/1/2015;549,74;25852305;2,6;282581,568;-159643,568
26/1/2015;549,88;25975243;0,0;189626,5728;-128012,5728
27/1/2015;549,95;26036857;0,0;166184,0928;-130932,0928
28/1/2015;549,99;26072109;0,0;126065,6352;-134881,6352
29/1/2015;549,98;26063293;24,6;224470,3968;469142,6032
30/1/2015;550,76;26756906;34,4;1841952,96;-510848,96
31/1/2015;552,22;28088010;0,2;572515,344;-256332,344
1/2/2015;552,56;28404193;2,2;339410,2176;-171063,2176
2/2/2015;552,74;28572540;0,4;228534,9984;-125329,9984
3/2/2015;552,85;28675745;2,2;228278,4768;-124825,4768
4/2/2015;552,96;28779198;18,4;233431,2864;-120290,2864
5/2/2015;553,08;28892339;23,6;472758,0768;-7688,0768
6/2/2015;553,57;29357409;6,6;507070,0224;-248688,0224
7/2/2015;553,84;29615791;2,8;317683,9872;-183112,9872
8/2/2015;553,98;29750362;27,2;260116,3584;-125138,3584
9/2/2015;554,12;29885340;17,0;252035,5392;-174722,5392
10/2/2015;554,2;29962653;25,0;264955,2768;-139037,2768
11/2/2015;554,33;30088571;0,0;338873,5872;-144465,5872
12/2/2015;554,53;30282979;0,0;385418,8224;-141231,8224
13/2/2015;554,78;30527166;0,0;366538,0896;-189913,0896
14/2/2015;554,96;30703791;0,2;399504,6144;-113510,6144
15/2/2015;555,25;30989785;0,2;615465,5616;-128204,5616
16/2/2015;555,74;31477046;7,4;736890,48;-42116,48
17/2/2015;556,43;32171820;2,0;891773,28;-422949,28
18/2/2015;556,89;32640644;0,0;510086,6784;-366500,6784
19/2/2015;557,03;32784230;0,2;330725,7216;-351263,7216
20/2/2015;557,01;32763692;0,0;254724,2208;-306031,2208
21/2/2015;556,96;32712385;1,6;213662,3616;-254670,3616
22/2/2015;556,92;32671377;10,2;480477,6576;-213314,6576
23/2/2015;557,18;32938540;1,2;522488,5344;-336677,5344
24/2/2015;557,36;33124351;11,4;401086,5984;-349348,5984
25/2/2015;557,41;33176089;25,8;455606,3808;-507344,3808
26/2/2015;557,36;33124351;5,2;336696,9984;-357376,9984
27/2/2015;557,34;33103671;0,0;303606,8352;-303606,8352
28/2/2015;557,34;33103671;0,2;288121,104;-319125,104
1/3/2015;557,31;33072667;0,2;266802,9408;-287461,9408
2/3/2015;557,29;33052008;4,8;462338,064;-389995,064
3/3/2015;557,36;33124351;0,0;269696,304;-352365,304
4/3/2015;557,28;33041682;22,8;266653,8144;-163295,8144
5/3/2015;557,38;33145040;23,0;395388,5184;-478092,5184
6/3/2015;557,3;33062336;5,2;277206,4512;-287534,4512
7/3/2015;557,29;33052008;0,0;297605,664;-276946,664
8/3/2015;557,31;33072667;0,0;297608,256;-328593,256
9/3/2015;557,28;33041682;0,0;256277,4336;-297560,4336
10/3/2015;557,24;33000399;0,2;217099,872;-196462,872
11/3/2015;557,26;33021036;0,0;180862,848;-160216,848
12/3/2015;557,28;33041682;0,0;205558,56;-184904,56
13/3/2015;557,3;33062336;0,0;181116,864;-201770,864
14/3/2015;557,28;33041682;0,0;160273,728;-191238,728
15/3/2015;557,25;33010717;12,0;167308,7616;-146667,7616
16/3/2015;557,27;33031358;25,8;350317,872;-298676,872
17/3/2015;557,32;33082999;14,6;768479,0112;-840761,0112
18/3/2015;557,25;33010717;0,0;390563,2512;-297609,2512
19/3/2015;557,34;33103671;0,0;323335,7568;-344007,7568
20/3/2015;557,32;33082999;0,0;269161,6608;-310478,6608
