Anno;Mese;Citta;Consumi_totali;Turisti;Residenti;Temperatura
2022;1;Rimini;896,3;36681;341466;4,6
2022;1;FC;1021,4;22114;393369;5,7
2022;2;Rimini;876,1;44886;341466;7,6
2022;2;FC;1016;25139;393369;11,1
2022;3;Rimini;889;93950;341466;10,5
2022;3;FC;1013,1;32787;393369;12,4
2022;4;Rimini;959,2;223996;341466;12,8
2022;4;FC;1037,2;78939;393369;16
2022;5;Rimini;1066,3;291751;341466;19,8
2022;5;FC;1136,7;91348;393369;23,7
2022;6;Rimini;1359,2;637714;341466;24,2
2022;6;FC;1287,5;208881;393369;26,7
2022;7;Rimini;1542,5;739905;341466;25,6
2022;7;FC;1375,7;240801;393369;29,6
2022;8;Rimini;1577;715487;341466;24,8
2022;8;FC;1366,6;227454;393369;27,1
2022;9;Rimini;1188,6;313694;341466;20,6
2022;9;FC;1229,7;100333;393369;21,4
2022;10;Rimini;985;152335;341466;17,5
2022;10;FC;1147,8;51911;393369;19,4
2022;11;Rimini;937,8;85173;341466;11,4
2022;11;FC;1121,2;34346;393369;11
2022;12;Rimini;900,9;82994;341466;7,3
2022;12;FC;1089;35977;393369;6,7
2023;1;Rimini;929,6;108346;341437;7,2
2023;1;FC;1051;30640;393234;6,2
2023;2;Rimini;929,2;67991;341437;6,1
2023;2;FC;1041,1;28151;393234;7
2023;3;Rimini;939,2;128412;341437;11,4
2023;3;FC;1050;39647;393234;12,7
2023;4;Rimini;991,8;303407;341437;12
2023;4;FC;1056,1;98338;393234;13,7
2023;5;Rimini;1035;229397;341437;17,1
2023;5;FC;1140,1;75611;393234;18,5
2023;6;Rimini;1320,4;620037;341437;22,4
2023;6;FC;1264,5;187540;393234;24,5
2023;7;Rimini;1572;737197;341437;26,2
2023;7;FC;1366,5;229251;393234;28,6
2023;8;Rimini;1606,2;723037;341437;25,1
2023;8;FC;1377,2;218155;393234;27,3
2023;9;Rimini;1270,3;377838;341437;22,2
2023;9;FC;1265,1;118964;393234;23,9
2023;10;Rimini;1034,8;159501;341437;19,4
2023;10;FC;1158,3;47685;393234;20,5
2023;11;Rimini;965;105176;341437;11,2
2023;11;FC;1114,3;38628;393234;11,5
2023;12;Rimini;948,1;105778;341437;8
2023;12;FC;1097,9;39968;393234;8,2
2024;1;Rimini;927,2;111234;341825;5,5
2024;1;FC;1091,3;32983;393978;6
2024;2;Rimini;907,7;93137;341825;9,1
2024;2;FC;1081,4;30480;393978;11,5
2024;3;Rimini;925,8;168158;341825;12,1
2024;3;FC;1095,2;61124;393978;14,1
2024;4;Rimini;993,1;262840;341825;14,2
2024;4;FC;1093,6;81736;393978;15,6
2024;5;Rimini;1049,8;343695;341825;17,7
2024;5;FC;1120,4;116263;393978;19,7
2024;6;Rimini;1320,6;623295;341825;23,2
2024;6;FC;1259,8;200510;393978;24,8
2024;7;Rimini;1588,9;698416;341825;26,6
2024;7;FC;1402,8;213234;393978;28,8
2024;8;Rimini;1646,4;727250;341825;26,5
2024;8;FC;1429;227236;393978;28,2
2024;9;Rimini;1254,4;336230;341825;20,8
2024;9;FC;1246,5;99429;393978;23,9
2024;10;Rimini;1022,2;147319;341825;17,4
2024;10;FC;1129,3;43681;393978;20,5
2024;11;Rimini;965;110719;341825;9,5
2024;11;FC;1083,6;40541;393978;11,5
2024;12;Rimini;908,7;96798;341825;6,2
2024;12;FC;1062,9;35713;393978;8,2
